invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,total_amount,AgeCategory
I100015,C132779,Female,35,Clothing,2,600.16,Debit Card,04-Mar-21,Mall of Istanbul,1200.32,35-44
I100057,C225062,Female,25,Clothing,2,600.16,Credit Card,13-Oct-21,Forum Istanbul,1200.32,25-34
I100095,C608046,Male,60,Clothing,2,600.16,Cash,23-Nov-21,Istinye Park,1200.32,55-64
I100127,C708853,Male,38,Clothing,2,600.16,Debit Card,16-Nov-21,Cevahir AVM,1200.32,35-44
I100138,C237364,Male,52,Clothing,2,600.16,Cash,19-Jun-21,Mall of Istanbul,1200.32,45-54
I100151,C315218,Male,69,Clothing,2,600.16,Cash,23-Jul-21,Kanyon,1200.32,65+
I100211,C239527,Female,59,Clothing,2,600.16,Debit Card,10-Feb-21,Metrocity,1200.32,55-64
I100228,C248381,Male,42,Clothing,2,600.16,Cash,21-Feb-23,Mall of Istanbul,1200.32,35-44
I100284,C174674,Female,66,Clothing,2,600.16,Credit Card,13-Aug-22,Kanyon,1200.32,65+
I100292,C721616,Female,21,Clothing,2,600.16,Cash,16-Aug-22,Mall of Istanbul,1200.32,18-24
I100320,C152872,Female,21,Clothing,2,600.16,Cash,10-Oct-22,Emaar Square Mall,1200.32,18-24
I100364,C231500,Female,54,Clothing,2,600.16,Debit Card,15-Apr-21,Zorlu Center,1200.32,45-54
I100381,C243648,Female,36,Clothing,2,600.16,Cash,02-Dec-22,Forum Istanbul,1200.32,35-44
I100464,C129826,Male,44,Clothing,2,600.16,Debit Card,01-May-21,Mall of Istanbul,1200.32,35-44
I100496,C174558,Female,51,Clothing,2,600.16,Cash,26-Nov-21,Metrocity,1200.32,45-54
I100540,C641482,Female,35,Clothing,2,600.16,Credit Card,14-Jun-22,Metrocity,1200.32,35-44
I100566,C266257,Male,21,Clothing,2,600.16,Cash,10-Oct-22,Metrocity,1200.32,18-24
I100582,C638859,Female,66,Clothing,2,600.16,Cash,02-Nov-21,Istinye Park,1200.32,65+
I100586,C580838,Female,62,Clothing,2,600.16,Credit Card,18-Mar-22,Istinye Park,1200.32,55-64
I100652,C214732,Female,67,Clothing,2,600.16,Credit Card,17-Jan-23,Cevahir AVM,1200.32,65+
I100664,C603641,Male,62,Clothing,2,600.16,Debit Card,19-Oct-21,Mall of Istanbul,1200.32,55-64
I100691,C116434,Female,35,Clothing,2,600.16,Cash,26-Apr-22,Viaport Outlet,1200.32,35-44
I100696,C131827,Male,44,Clothing,2,600.16,Cash,12-Jul-21,Metrocity,1200.32,35-44
I100703,C263996,Male,36,Clothing,2,600.16,Cash,08-Aug-22,Metrocity,1200.32,35-44
I100721,C993556,Female,51,Clothing,2,600.16,Debit Card,02-May-22,Kanyon,1200.32,45-54
I100738,C155129,Male,20,Clothing,2,600.16,Debit Card,31-Mar-22,Kanyon,1200.32,18-24
I100813,C250804,Male,63,Clothing,2,600.16,Cash,18-Mar-22,Emaar Square Mall,1200.32,55-64
I100932,C204475,Male,43,Clothing,2,600.16,Cash,28-Oct-22,Mall of Istanbul,1200.32,35-44
I100961,C157517,Female,47,Clothing,2,600.16,Cash,27-Apr-22,Forum Istanbul,1200.32,45-54
I100981,C116368,Female,33,Clothing,2,600.16,Credit Card,29-Jan-23,Metropol AVM,1200.32,25-34
I100988,C202289,Male,37,Clothing,2,600.16,Cash,27-Sep-22,Istinye Park,1200.32,35-44
I101010,C766878,Female,56,Clothing,2,600.16,Debit Card,07-Mar-22,Emaar Square Mall,1200.32,55-64
I101048,C186345,Male,19,Clothing,2,600.16,Cash,06-Sep-22,Metrocity,1200.32,18-24
I101060,C131806,Female,54,Clothing,2,600.16,Credit Card,16-Nov-21,Metrocity,1200.32,45-54
I101133,C270664,Female,63,Clothing,2,600.16,Cash,22-Jan-22,Kanyon,1200.32,55-64
I101156,C251408,Female,63,Clothing,2,600.16,Cash,07-Dec-21,Zorlu Center,1200.32,55-64
I101214,C229296,Female,40,Clothing,2,600.16,Credit Card,11-Mar-21,Viaport Outlet,1200.32,35-44
I101256,C129775,Male,50,Clothing,2,600.16,Credit Card,26-Jun-22,Mall of Istanbul,1200.32,45-54
I101280,C663744,Female,39,Clothing,2,600.16,Credit Card,26-Mar-22,Mall of Istanbul,1200.32,35-44
I101328,C468550,Male,52,Clothing,2,600.16,Cash,24-Jul-22,Viaport Outlet,1200.32,45-54
I101363,C182070,Male,18,Clothing,2,600.16,Credit Card,26-Nov-22,Metrocity,1200.32,18-24
I101366,C927671,Female,47,Clothing,2,600.16,Credit Card,19-Oct-21,Kanyon,1200.32,45-54
I101452,C231594,Male,45,Clothing,2,600.16,Credit Card,15-Oct-21,Emaar Square Mall,1200.32,45-54
I101465,C250819,Female,23,Clothing,2,600.16,Credit Card,16-Jun-21,Metrocity,1200.32,18-24
I101466,C314331,Female,36,Clothing,2,600.16,Cash,29-Sep-22,Emaar Square Mall,1200.32,35-44
I101498,C431849,Female,52,Clothing,2,600.16,Debit Card,30-Aug-21,Mall of Istanbul,1200.32,45-54
I101551,C164448,Female,45,Clothing,2,600.16,Debit Card,27-Dec-21,Metrocity,1200.32,45-54
I101554,C273482,Female,41,Clothing,2,600.16,Cash,01-Aug-21,Emaar Square Mall,1200.32,35-44
I101605,C756859,Female,30,Clothing,2,600.16,Cash,25-Jan-23,Mall of Istanbul,1200.32,25-34
I101676,C179567,Female,39,Clothing,2,600.16,Cash,10-Feb-23,Kanyon,1200.32,35-44
I101716,C254712,Female,19,Clothing,2,600.16,Debit Card,04-Nov-21,Istinye Park,1200.32,18-24
I101727,C145580,Male,67,Clothing,2,600.16,Cash,04-May-22,Cevahir AVM,1200.32,65+
I101775,C867251,Female,64,Clothing,2,600.16,Credit Card,14-Feb-23,Mall of Istanbul,1200.32,55-64
I101852,C224985,Male,32,Clothing,2,600.16,Debit Card,04-Mar-23,Mall of Istanbul,1200.32,25-34
I101873,C844870,Female,67,Clothing,2,600.16,Credit Card,14-Dec-21,Emaar Square Mall,1200.32,65+
I101975,C208782,Female,22,Clothing,2,600.16,Cash,07-Jan-22,Kanyon,1200.32,18-24
I101979,C109876,Male,25,Clothing,2,600.16,Cash,22-Feb-23,Mall of Istanbul,1200.32,25-34
I101984,C117381,Male,45,Clothing,2,600.16,Credit Card,01-Oct-22,Metrocity,1200.32,45-54
I102006,C133645,Female,64,Clothing,2,600.16,Debit Card,07-Jan-21,Kanyon,1200.32,55-64
I102051,C283917,Male,20,Clothing,2,600.16,Credit Card,26-Jul-22,Mall of Istanbul,1200.32,18-24
I102053,C318494,Female,56,Clothing,2,600.16,Cash,13-May-21,Mall of Istanbul,1200.32,55-64
I102065,C799164,Female,40,Clothing,2,600.16,Debit Card,23-Apr-22,Metropol AVM,1200.32,35-44
I102175,C287261,Female,65,Clothing,2,600.16,Cash,02-Sep-21,Metrocity,1200.32,65+
I102200,C242359,Female,19,Clothing,2,600.16,Credit Card,25-Jan-21,Metropol AVM,1200.32,18-24
I102234,C237184,Male,48,Clothing,2,600.16,Cash,26-Sep-21,Metropol AVM,1200.32,45-54
I102264,C221936,Female,56,Clothing,2,600.16,Credit Card,22-Jan-21,Istinye Park,1200.32,55-64
I102278,C190867,Male,24,Clothing,2,600.16,Cash,31-May-22,Kanyon,1200.32,18-24
I102348,C964439,Male,62,Clothing,2,600.16,Credit Card,03-Mar-23,Emaar Square Mall,1200.32,55-64
I102361,C831180,Female,25,Clothing,2,600.16,Cash,28-Apr-22,Metrocity,1200.32,25-34
I102376,C271700,Female,47,Clothing,2,600.16,Cash,24-Jul-21,Viaport Outlet,1200.32,45-54
I102437,C329779,Female,54,Clothing,2,600.16,Cash,17-Nov-21,Kanyon,1200.32,45-54
I102495,C179897,Male,48,Clothing,2,600.16,Cash,13-Sep-21,Metrocity,1200.32,45-54
I102542,C860947,Female,34,Clothing,2,600.16,Credit Card,12-Apr-21,Mall of Istanbul,1200.32,25-34
I102547,C941147,Female,62,Clothing,2,600.16,Debit Card,20-Jun-21,Zorlu Center,1200.32,55-64
I102612,C210929,Female,66,Clothing,2,600.16,Credit Card,29-Sep-22,Mall of Istanbul,1200.32,65+
I102619,C279714,Female,23,Clothing,2,600.16,Credit Card,12-May-22,Metrocity,1200.32,18-24
I102697,C232551,Male,54,Clothing,2,600.16,Debit Card,08-Jun-22,Metrocity,1200.32,45-54
I102726,C444281,Female,66,Clothing,2,600.16,Credit Card,08-Jan-23,Cevahir AVM,1200.32,65+
I102759,C174415,Female,28,Clothing,2,600.16,Credit Card,26-Mar-22,Mall of Istanbul,1200.32,25-34
I102786,C969271,Female,35,Clothing,2,600.16,Cash,29-Jun-22,Emaar Square Mall,1200.32,35-44
I102855,C159521,Female,19,Clothing,2,600.16,Cash,15-Oct-22,Istinye Park,1200.32,18-24
I102881,C482255,Female,50,Clothing,2,600.16,Cash,21-Sep-21,Mall of Istanbul,1200.32,45-54
I102993,C142692,Female,67,Clothing,2,600.16,Credit Card,21-Nov-22,Forum Istanbul,1200.32,65+
I103032,C317778,Male,65,Clothing,2,600.16,Debit Card,06-Sep-22,Kanyon,1200.32,65+
I103061,C603549,Female,41,Clothing,2,600.16,Cash,17-Jan-21,Mall of Istanbul,1200.32,35-44
I103068,C115494,Male,69,Clothing,2,600.16,Debit Card,21-Mar-21,Kanyon,1200.32,65+
I103085,C252697,Female,27,Clothing,2,600.16,Credit Card,27-Aug-22,Kanyon,1200.32,25-34
I100028,C325553,Female,18,Clothing,1,300.08,Credit Card,19-Jun-21,Metrocity,300.08,18-24
I100037,C122873,Female,63,Clothing,1,300.08,Debit Card,06-Jun-21,Kanyon,300.08,55-64
I100113,C136435,Male,48,Clothing,1,300.08,Credit Card,31-Jan-21,Zorlu Center,300.08,45-54
I100161,C262871,Female,30,Clothing,1,300.08,Cash,11-Apr-21,Kanyon,300.08,25-34
I100174,C286570,Female,36,Clothing,1,300.08,Cash,07-Dec-21,Mall of Istanbul,300.08,35-44
I100186,C222236,Male,62,Clothing,1,300.08,Debit Card,30-Jan-23,Zorlu Center,300.08,55-64
I100192,C161234,Male,57,Clothing,1,300.08,Debit Card,17-Nov-21,Mall of Istanbul,300.08,55-64
I100193,C149918,Male,34,Clothing,1,300.08,Debit Card,26-Feb-22,Istinye Park,300.08,25-34
I100243,C332855,Female,42,Clothing,1,300.08,Cash,12-Jan-23,Kanyon,300.08,35-44
I100366,C296054,Female,69,Clothing,1,300.08,Debit Card,05-Jul-21,Cevahir AVM,300.08,65+
I100445,C307576,Female,18,Clothing,1,300.08,Debit Card,02-Nov-21,Istinye Park,300.08,18-24
I100465,C211946,Female,57,Clothing,1,300.08,Cash,14-Jan-22,Mall of Istanbul,300.08,55-64
I100484,C135857,Male,50,Clothing,1,300.08,Debit Card,26-Jan-21,Mall of Istanbul,300.08,45-54
I100527,C274542,Male,54,Clothing,1,300.08,Cash,26-Jun-22,Metrocity,300.08,45-54
I100571,C668914,Male,66,Clothing,1,300.08,Debit Card,07-Jan-23,Zorlu Center,300.08,65+
I100572,C245347,Female,67,Clothing,1,300.08,Cash,30-Jul-21,Istinye Park,300.08,65+
I100628,C135129,Male,25,Clothing,1,300.08,Cash,09-Apr-22,Viaport Outlet,300.08,25-34
I100671,C284324,Male,28,Clothing,1,300.08,Cash,03-May-21,Metrocity,300.08,25-34
I100756,C771102,Male,31,Clothing,1,300.08,Cash,17-Feb-23,Mall of Istanbul,300.08,25-34
I100762,C183883,Female,49,Clothing,1,300.08,Debit Card,11-Jan-23,Zorlu Center,300.08,45-54
I100837,C827434,Male,65,Clothing,1,300.08,Cash,12-Jan-23,Cevahir AVM,300.08,65+
I100901,C178198,Female,41,Clothing,1,300.08,Debit Card,17-Jun-22,Kanyon,300.08,35-44
I100936,C331442,Female,35,Clothing,1,300.08,Debit Card,21-Jun-21,Mall of Istanbul,300.08,35-44
I100969,C242347,Male,51,Clothing,1,300.08,Credit Card,09-Jun-21,Istinye Park,300.08,45-54
I100983,C203462,Female,67,Clothing,1,300.08,Credit Card,29-May-22,Zorlu Center,300.08,65+
I101043,C289681,Female,32,Clothing,1,300.08,Credit Card,01-Dec-22,Cevahir AVM,300.08,25-34
I101165,C325003,Female,34,Clothing,1,300.08,Debit Card,21-Aug-22,Kanyon,300.08,25-34
I101318,C156439,Female,27,Clothing,1,300.08,Debit Card,06-Mar-21,Metrocity,300.08,25-34
I101379,C275478,Female,61,Clothing,1,300.08,Cash,16-Jan-23,Kanyon,300.08,55-64
I101458,C113888,Female,35,Clothing,1,300.08,Cash,21-Jul-22,Metrocity,300.08,35-44
I101520,C260507,Female,32,Clothing,1,300.08,Debit Card,12-Mar-21,Kanyon,300.08,25-34
I101576,C262719,Male,58,Clothing,1,300.08,Debit Card,12-Aug-21,Kanyon,300.08,55-64
I101606,C279630,Male,25,Clothing,1,300.08,Cash,28-Nov-21,Mall of Istanbul,300.08,25-34
I101618,C203219,Male,24,Clothing,1,300.08,Cash,10-Jan-21,Kanyon,300.08,18-24
I101634,C318714,Female,19,Clothing,1,300.08,Debit Card,11-Mar-22,Metrocity,300.08,18-24
I101670,C584201,Female,34,Clothing,1,300.08,Cash,02-Feb-21,Metropol AVM,300.08,25-34
I101739,C152510,Male,49,Clothing,1,300.08,Debit Card,04-Feb-21,Kanyon,300.08,45-54
I101806,C322425,Female,42,Clothing,1,300.08,Credit Card,05-Jan-22,Mall of Istanbul,300.08,35-44
I101820,C324317,Male,69,Clothing,1,300.08,Cash,14-Aug-21,Emaar Square Mall,300.08,65+
I101865,C248634,Female,47,Clothing,1,300.08,Cash,15-Jan-23,Mall of Istanbul,300.08,45-54
I101915,C112646,Male,42,Clothing,1,300.08,Credit Card,22-Sep-22,Kanyon,300.08,35-44
I102054,C948047,Female,38,Clothing,1,300.08,Credit Card,07-May-22,Viaport Outlet,300.08,35-44
I102119,C299453,Female,37,Clothing,1,300.08,Credit Card,20-May-22,Forum Istanbul,300.08,35-44
I102120,C207445,Female,19,Clothing,1,300.08,Debit Card,14-Aug-22,Forum Istanbul,300.08,18-24
I102133,C121237,Female,36,Clothing,1,300.08,Credit Card,10-Jan-22,Kanyon,300.08,35-44
I102141,C329384,Male,34,Clothing,1,300.08,Debit Card,28-Feb-22,Mall of Istanbul,300.08,25-34
I102195,C242866,Female,28,Clothing,1,300.08,Credit Card,21-Feb-21,Kanyon,300.08,25-34
I102258,C306120,Female,49,Clothing,1,300.08,Credit Card,31-Jul-21,Cevahir AVM,300.08,45-54
I102287,C844764,Male,38,Clothing,1,300.08,Cash,16-Mar-22,Metropol AVM,300.08,35-44
I102314,C244044,Female,21,Clothing,1,300.08,Credit Card,03-Aug-21,Kanyon,300.08,18-24
I102365,C186468,Male,18,Clothing,1,300.08,Cash,20-Nov-22,Metrocity,300.08,18-24
I102371,C173386,Male,18,Clothing,1,300.08,Credit Card,05-Sep-22,Istinye Park,300.08,18-24
I102487,C104393,Male,35,Clothing,1,300.08,Credit Card,03-Feb-21,Kanyon,300.08,35-44
I102497,C299013,Male,63,Clothing,1,300.08,Credit Card,17-Sep-22,Mall of Istanbul,300.08,55-64
I102556,C315965,Male,26,Clothing,1,300.08,Cash,16-Jan-23,Kanyon,300.08,25-34
I102567,C441192,Female,21,Clothing,1,300.08,Credit Card,06-Mar-23,Kanyon,300.08,18-24
I102600,C425591,Male,48,Clothing,1,300.08,Credit Card,13-May-22,Mall of Istanbul,300.08,45-54
I102628,C800190,Male,31,Clothing,1,300.08,Credit Card,01-Dec-22,Cevahir AVM,300.08,25-34
I102632,C247827,Male,55,Clothing,1,300.08,Credit Card,02-Mar-23,Kanyon,300.08,55-64
I102652,C134226,Female,67,Clothing,1,300.08,Cash,15-Aug-21,Metropol AVM,300.08,65+
I102653,C144135,Female,33,Clothing,1,300.08,Cash,20-Oct-21,Kanyon,300.08,25-34
I102669,C172671,Male,40,Clothing,1,300.08,Credit Card,12-Nov-21,Kanyon,300.08,35-44
I102681,C298900,Female,19,Clothing,1,300.08,Credit Card,24-Sep-22,Metrocity,300.08,18-24
I102729,C216936,Female,44,Clothing,1,300.08,Credit Card,03-Jan-21,Metrocity,300.08,35-44
I102801,C288748,Female,69,Clothing,1,300.08,Credit Card,01-May-22,Metrocity,300.08,65+
I102886,C896170,Female,60,Clothing,1,300.08,Credit Card,07-Jul-22,Forum Istanbul,300.08,55-64
I102945,C287896,Female,34,Clothing,1,300.08,Cash,25-Jun-22,Metrocity,300.08,25-34
I103066,C340003,Male,66,Clothing,1,300.08,Cash,11-Aug-21,Mall of Istanbul,300.08,65+
I100008,C199951,Male,65,Clothing,5,1500.4,Cash,10-Jul-22,Emaar Square Mall,7502,65+
I100089,C123196,Female,63,Clothing,5,1500.4,Cash,27-Mar-22,Emaar Square Mall,7502,55-64
I100098,C228071,Male,49,Clothing,5,1500.4,Cash,16-Nov-21,Cevahir AVM,7502,45-54
I100145,C153189,Female,20,Clothing,5,1500.4,Debit Card,10-Dec-22,Kanyon,7502,18-24
I100181,C123341,Female,33,Clothing,5,1500.4,Cash,18-Apr-22,Metrocity,7502,25-34
I100205,C220151,Male,32,Clothing,5,1500.4,Credit Card,26-Jun-21,Istinye Park,7502,25-34
I100220,C122251,Male,25,Clothing,5,1500.4,Cash,26-May-21,Mall of Istanbul,7502,25-34
I100249,C209647,Male,40,Clothing,5,1500.4,Credit Card,19-Dec-22,Kanyon,7502,35-44
I100291,C832260,Male,18,Clothing,5,1500.4,Debit Card,03-Aug-21,Istinye Park,7502,18-24
I100299,C179079,Male,19,Clothing,5,1500.4,Cash,30-Sep-22,Mall of Istanbul,7502,18-24
I100324,C288166,Female,61,Clothing,5,1500.4,Debit Card,30-Dec-22,Metropol AVM,7502,55-64
I100355,C189409,Female,57,Clothing,5,1500.4,Cash,25-Oct-22,Kanyon,7502,55-64
I100365,C624809,Female,47,Clothing,5,1500.4,Credit Card,19-May-21,Emaar Square Mall,7502,45-54
I100499,C114407,Male,45,Clothing,5,1500.4,Cash,09-May-21,Cevahir AVM,7502,45-54
I100522,C100218,Male,26,Clothing,5,1500.4,Cash,06-Nov-21,Kanyon,7502,25-34
I100565,C833577,Male,42,Clothing,5,1500.4,Cash,17-Sep-22,Metropol AVM,7502,35-44
I100607,C315778,Male,60,Clothing,5,1500.4,Debit Card,27-Nov-21,Kanyon,7502,55-64
I100615,C197426,Female,57,Clothing,5,1500.4,Cash,12-May-22,Mall of Istanbul,7502,55-64
I100624,C552809,Female,26,Clothing,5,1500.4,Debit Card,05-Mar-21,Metrocity,7502,25-34
I100634,C461631,Female,22,Clothing,5,1500.4,Cash,23-May-22,Kanyon,7502,18-24
I100812,C208761,Female,66,Clothing,5,1500.4,Credit Card,24-Mar-22,Metropol AVM,7502,65+
I100835,C259176,Female,43,Clothing,5,1500.4,Debit Card,27-Aug-22,Viaport Outlet,7502,35-44
I100899,C256232,Male,30,Clothing,5,1500.4,Cash,23-Jun-22,Kanyon,7502,25-34
I101059,C236719,Female,44,Clothing,5,1500.4,Cash,25-Aug-21,Mall of Istanbul,7502,35-44
I101089,C392188,Male,39,Clothing,5,1500.4,Credit Card,06-May-21,Mall of Istanbul,7502,35-44
I101135,C689947,Male,48,Clothing,5,1500.4,Credit Card,13-Jan-21,Kanyon,7502,45-54
I101140,C122069,Female,20,Clothing,5,1500.4,Credit Card,26-Jul-22,Forum Istanbul,7502,18-24
I101155,C114131,Female,58,Clothing,5,1500.4,Cash,08-Jun-22,Metropol AVM,7502,55-64
I101210,C316485,Female,20,Clothing,5,1500.4,Credit Card,04-Jul-22,Zorlu Center,7502,18-24
I101312,C261678,Male,50,Clothing,5,1500.4,Cash,29-Sep-21,Mall of Istanbul,7502,45-54
I101407,C323409,Female,32,Clothing,5,1500.4,Cash,16-Jul-22,Viaport Outlet,7502,25-34
I101428,C197332,Female,21,Clothing,5,1500.4,Debit Card,08-Jul-21,Mall of Istanbul,7502,18-24
I101460,C247762,Female,45,Clothing,5,1500.4,Cash,11-Jan-22,Zorlu Center,7502,45-54
I101521,C234258,Male,54,Clothing,5,1500.4,Debit Card,28-Mar-22,Forum Istanbul,7502,45-54
I101526,C332894,Female,24,Clothing,5,1500.4,Cash,18-Aug-22,Forum Istanbul,7502,18-24
I101709,C800815,Female,20,Clothing,5,1500.4,Debit Card,02-Sep-21,Mall of Istanbul,7502,18-24
I101809,C148190,Female,21,Clothing,5,1500.4,Cash,10-Nov-21,Mall of Istanbul,7502,18-24
I101843,C300621,Female,61,Clothing,5,1500.4,Cash,18-Jan-23,Kanyon,7502,55-64
I101888,C216076,Male,69,Clothing,5,1500.4,Cash,22-Feb-21,Metropol AVM,7502,65+
I101902,C195949,Female,64,Clothing,5,1500.4,Credit Card,05-Apr-21,Mall of Istanbul,7502,55-64
I101972,C182834,Female,57,Clothing,5,1500.4,Credit Card,03-Feb-22,Metrocity,7502,55-64
I101978,C188650,Female,42,Clothing,5,1500.4,Debit Card,14-Aug-22,Mall of Istanbul,7502,35-44
I102008,C171022,Female,47,Clothing,5,1500.4,Debit Card,15-Feb-23,Forum Istanbul,7502,45-54
